sweep	reported_energy	abs_delta_previous	recomputed_mismatch	residual	oracle_min_up	oracle_min_dn	projector_up	projector_dn	energy_delta_oracle	s2	zspin	windows	focks	fallback	local	projection
75	-14.573351154438775	4.4231285301066237e-13	2.842170943040401e-14	2.2671101291108864e-6	0.9999999999993426	0.9999999999993437	1.6201128360009554e-6	1.620030047144078e-6	1.4406253967536031e-12	0.1316527823983895	-1.1194395359559255	98	294	0.0	98.0	0.0
76	-14.573351154438948	1.723066134218243e-13	7.993605777301127e-14	2.044369082731538e-6	0.9999999999995187	0.9999999999995187	1.3880717175772999e-6	1.3879595030061872e-6	1.1599610161283636e-12	0.13165258451772344	-1.1194386278099666	98	294	0.0	98.0	0.0
77	-14.573351154439308	3.6060043839825084e-13	6.217248937900877e-14	1.847682484823976e-6	0.9999999999996494	0.9999999999996501	1.1821821445476785e-6	1.1823322465242024e-6	9.414691248821327e-13	0.13165240762398334	-1.1194378160531744	98	294	0.0	98.0	0.0
78	-14.573351154439425	1.1723955140041653e-13	3.375077994860476e-14	1.6743738981981267e-6	0.9999999999997489	0.9999999999997494	1.000932779697791e-6	1.0010417615734695e-6	7.958078640513122e-13	0.13165225017856907	-1.1194370934053324	98	294	0.0	98.0	0.0
79	-14.573351154439445	1.9539925233402755e-14	1.7763568394002505e-15	1.522102460721222e-6	0.9999999999998223	0.999999999999823	8.414447909816578e-7	8.415124692572433e-7	7.407408020299044e-13	0.13165210912343195	-1.119436446166012	98	294	0.0	98.0	0.0
80	-14.573351154439528	8.348877145181177e-14	1.2434497875801753e-13	1.3887387873244252e-6	0.9999999999998759	0.9999999999998762	7.025516595174435e-7	7.025803552453436e-7	5.346834086594754e-13	0.13165198301726244	-1.119435867574885	98	294	0.0	98.0	0.0
81	-14.57335115443949	3.907985046680551e-14	1.4566126083082054e-13	1.272549191897643e-6	0.9999999999999151	0.9999999999999155	5.835351126775281e-7	5.8351683036911e-7	5.524469770534779e-13	0.13165187042684834	-1.119435350992166	98	294	0.0	98.0	0.0
82	-14.57335115443974	2.504663143554353e-13	7.283063041541027e-14	1.1716669031746275e-6	0.9999999999999415	0.9999999999999402	4.842085739488836e-7	4.841736951926793e-7	5.204725539442734e-13	0.13165176999156358	-1.1194348901436681	98	294	0.0	98.0	0.0
83	-14.573351154439731	8.881784197001252e-15	3.730349362740526e-14	1.0843644955024985e-6	0.9999999999999596	0.9999999999999596	4.0507874107938103e-7	4.050786815414049e-7	4.192202140984591e-13	0.13165168025526874	-1.1194344784006245	98	294	0.0	98.0	0.0
84	-14.57335115443989	1.5987211554602254e-13	1.2079226507921703e-13	1.009455985068943e-6	0.9999999999999698	0.99999999999997	3.4743293845646987e-7	3.474315713392989e-7	4.1744385725905886e-13	0.13165159993560582	-1.1194341099252643	98	294	0.0	98.0	0.0
85	-14.5733511544398	9.059419880941277e-14	4.085620730620576e-14	9.457029619395051e-7	0.999999999999976	0.9999999999999768	3.1227192404139336e-7	3.1226958202307974e-7	3.4638958368304884e-13	0.13165152838082594	-1.1194337815995392	98	294	0.0	98.0	0.0
86	-14.573351154439905	1.0480505352461478e-13	2.4868995751603507e-14	8.911961424992483e-7	0.9999999999999775	0.9999999999999788	2.9859160250119613e-7	2.986674328396191e-7	3.0730973321624333e-13	0.13165146442692133	-1.1194334881662829	98	294	0.0	98.0	0.0
87	-14.57335115443977	1.3500311979441904e-13	1.6697754290362354e-13	8.453086514686914e-7	0.9999999999999766	0.9999999999999776	3.0270289633234566e-7	3.027218292143972e-7	2.504663143554353e-13	0.13165140726017266	-1.1194332258887565	98	294	0.0	98.0	0.0
88	-14.573351154439889	1.1901590823981678e-13	1.9539925233402755e-14	8.071400806053821e-7	0.9999999999999741	0.9999999999999742	3.1883074214295496e-7	3.188734413046441e-7	2.788880237858393e-13	0.13165135630554037	-1.1194329920794135	98	294	0.0	98.0	0.0
89	-14.573351154439953	6.394884621840902e-14	4.263256414560601e-14	7.750598022064367e-7	0.9999999999999711	0.9999999999999708	3.4191044911447106e-7	3.420887254822216e-7	2.7711166694643907e-13	0.13165131069202163	-1.1194327828146573	98	294	0.0	98.0	0.0
90	-14.573351154439997	4.440892098500626e-14	7.460698725481052e-14	7.486468872043407e-7	0.9999999999999664	0.9999999999999666	3.682956906966472e-7	3.6809270901284773e-7	2.646771690706373e-13	0.1316512700698933	-1.1194325964088445	98	294	0.0	98.0	0.0
91	-14.573351154439948	4.973799150320701e-14	8.881784197001252e-15	7.267662913541703e-7	0.9999999999999618	0.9999999999999617	3.95294029260679e-7	3.953577158111877e-7	2.3092638912203256e-13	0.13165123364426967	-1.1194324293100566	98	294	0.0	98.0	0.0
92	-14.57335115443998	3.197442310920451e-14	8.348877145181177e-14	7.087971347165038e-7	0.9999999999999554	0.999999999999955	4.2181044769475826e-7	4.2182743799369377e-7	2.913225216616411e-13	0.1316512011748927	-1.1194322803382448	98	294	0.0	98.0	0.0
93	-14.57335115444003	4.973799150320701e-14	1.1013412404281553e-13	6.942280512307354e-7	0.9999999999999502	0.9999999999999508	4.469170702874764e-7	4.470338410671683e-7	2.682298827494378e-13	0.13165117220282907	-1.1194321474051578	98	294	0.0	98.0	0.0
94	-14.57335115443994	8.881784197001252e-14	4.263256414560601e-14	6.82382610331646e-7	0.9999999999999448	0.9999999999999457	4.703376520600021e-7	4.7040629137466865e-7	2.8954616482224083e-13	0.13165114641485132	-1.1194320290538249	98	294	0.0	98.0	0.0
95	-14.573351154439859	8.171241461241152e-14	6.750155989720952e-14	6.728484494343794e-7	0.9999999999999395	0.9999999999999393	4.919953288034786e-7	4.920694796072178e-7	2.611244553918368e-13	0.13165112331541362	-1.1194319230640497	98	294	0.0	98.0	0.0
96	-14.573351154439989	1.2967404927621828e-13	5.329070518200751e-15	6.649437348763243e-7	0.9999999999999348	0.9999999999999349	5.11891532579516e-7	5.117721882307566e-7	1.936228954946273e-13	0.13165110271388514	-1.1194318285262224	98	294	0.0	98.0	0.0
97	-14.573351154439958	3.019806626980426e-14	2.3092638912203256e-14	6.586935392644822e-7	0.9999999999999304	0.9999999999999294	5.298493338625894e-7	5.300044171932929e-7	2.0605739337042905e-13	0.13165108424768146	-1.119431743810261	98	294	0.0	98.0	0.0
98	-14.57335115443987	8.881784197001252e-14	3.552713678800501e-14	6.537353561357022e-7	0.9999999999999263	0.9999999999999254	5.463941018644135e-7	5.463383738187571e-7	2.824407374646398e-13	0.1316510677243503	-1.1194316680185583	98	294	0.0	98.0	0.0
99	-14.573351154439928	5.861977570020827e-14	5.1514348342607263e-14	6.495770662383734e-7	0.9999999999999213	0.9999999999999217	5.613680257507827e-7	5.611858996956701e-7	2.078337502098293e-13	0.13165105291973456	-1.1194316001273101	98	294	0.0	98.0	0.0
100	-14.573351154440026	9.769962616701378e-14	8.881784197001252e-15	6.46278557480718e-7	0.9999999999999181	0.9999999999999184	5.745962520389696e-7	5.744307231563808e-7	1.5276668818842154e-13	0.13165103990122784	-1.1194315403588704	98	294	0.0	98.0	0.0
101	-14.573351154440086	6.039613253960852e-14	1.4566126083082054e-13	6.436339854730162e-7	0.999999999999914	0.9999999999999138	5.866075479476532e-7	5.865497803634814e-7	2.469136006766348e-13	0.13165102813435858	-1.1194314863845025	98	294	0.0	98.0	0.0
102	-14.573351154440083	3.552713678800501e-15	1.1368683772161603e-13	6.415959897441178e-7	0.9999999999999101	0.99999999999991	5.974167668239602e-7	5.971713762952924e-7	2.184918912462308e-13	0.13165101775319088	-1.119431438723225	98	294	0.0	98.0	0.0
103	-14.573351154440072	1.0658141036401503e-14	7.105427357601002e-14	6.397998792695507e-7	0.9999999999999087	0.9999999999999083	6.069446214822094e-7	6.07118649032116e-7	1.865174681370263e-13	0.13165100837399057	-1.1194313956990123	98	294	0.0	98.0	0.0
104	-14.573351154439816	2.5579538487363607e-13	1.1546319456101628e-13	6.383725848978998e-7	0.999999999999906	0.999999999999905	6.156828126121736e-7	6.155417079752299e-7	2.5579538487363607e-13	0.1316510001486857	-1.1194313579188204	98	294	0.0	98.0	0.0
105	-14.573351154440008	1.9184653865522705e-13	4.440892098500626e-14	6.371767887163401e-7	0.9999999999999027	0.999999999999903	6.234693322397426e-7	6.235926507115595e-7	1.3500311979441904e-13	0.131650992588759	-1.1194313232684916	98	294	0.0	98.0	0.0
